Date,CDS
2015-06-04,15.435132026672363
2015-06-05,15.191047668457031
2015-06-06,15.191047668457031
2015-06-07,15.191047668457031
2015-06-08,15.216736793518066
2015-06-09,15.146082878112793
2015-06-10,15.5379056930542
2015-06-11,15.608559608459473
2015-06-12,15.454398155212402
2015-06-13,15.454398155212402
2015-06-14,15.454398155212402
2015-06-15,15.236005783081055
2015-06-16,15.216736793518066
2015-06-17,15.191047668457031
2015-06-18,15.383749008178711
2015-06-19,15.325936317443848
2015-06-20,15.325936317443848
2015-06-21,15.325936317443848
2015-06-22,15.762721061706543
2015-06-23,15.717755317687988
2015-06-24,15.582866668701172
2015-06-25,15.640768051147461
2015-06-26,15.732890129089355
2015-06-27,15.732890129089355
2015-06-28,15.732890129089355
2015-06-29,15.081464767456055
2015-06-30,15.028823852539062
2015-07-01,15.134109497070312
2015-07-02,15.101205825805664
2015-07-03,15.101205825805664
2015-07-04,15.101205825805664
2015-07-05,15.101205825805664
2015-07-06,14.62744426727295
2015-07-07,14.601125717163086
2015-07-08,14.357659339904785
2015-07-09,14.680084228515625
2015-07-10,15.370989799499512
2015-07-11,15.370989799499512
2015-07-12,15.370989799499512
2015-07-13,15.47627067565918
2015-07-14,15.53548812866211
2015-07-15,15.509170532226562
2015-07-16,15.713151931762695
2015-07-17,15.653932571411133
2015-07-18,15.653932571411133
2015-07-19,15.653932571411133
2015-07-20,15.719728469848633
2015-07-21,15.647348403930664
2015-07-22,15.607871055603027
2015-07-23,15.574973106384277
2015-07-24,15.417046546936035
2015-07-25,15.417046546936035
2015-07-26,15.417046546936035
2015-07-27,15.292027473449707
2015-07-28,15.528913497924805
2015-07-29,15.47627067565918
2015-07-30,15.45652961730957
2015-07-31,15.496007919311523
2015-08-01,15.496007919311523
2015-08-02,15.496007919311523
2015-08-03,15.47627067565918
2015-08-04,15.377569198608398
2015-08-05,15.47627067565918
2015-08-06,15.502588272094727
2015-08-07,15.410466194152832
2015-08-08,15.410466194152832
2015-08-09,15.410466194152832
2015-08-10,15.588127136230469
2015-08-11,15.489432334899902
2015-08-12,15.357829093933105
2015-08-13,15.318349838256836
2015-08-14,15.331506729125977
2015-08-15,15.331506729125977
2015-08-16,15.331506729125977
2015-08-17,15.292027473449707
2015-08-18,15.219644546508789
2015-08-19,15.147266387939453
2015-08-20,14.739304542541504
2015-08-21,14.410304069519043
2015-08-22,14.410304069519043
2015-08-23,14.410304069519043
2015-08-24,13.916799545288086
2015-08-25,14.114197731018066
2015-08-26,14.311598777770996
2015-08-27,14.515583992004395
2015-08-28,14.377401351928711
2015-08-29,14.377401351928711
2015-08-30,14.377401351928711
2015-08-31,14.331342697143555
2015-09-01,13.8773193359375
2015-09-02,14.12077808380127
2015-09-03,14.08788013458252
2015-09-04,13.758881568908691
2015-09-05,13.758881568908691
2015-09-06,13.758881568908691
2015-09-07,13.758881568908691
2015-09-08,14.23263931274414
2015-09-09,14.18000316619873
2015-09-10,14.344503402709961
2015-09-11,14.27869701385498
2015-09-12,14.27869701385498
2015-09-13,14.27869701385498
2015-09-14,14.08788013458252
2015-09-15,14.193160057067871
2015-09-16,14.311598777770996
2015-09-17,14.36424446105957
2015-09-18,13.90363597869873
2015-09-19,13.90363597869873
2015-09-20,13.90363597869873
2015-09-21,13.890477180480957
2015-09-22,13.53515338897705
2015-09-23,13.429877281188965
2015-09-24,13.38381576538086
2015-09-25,13.53515338897705
2015-09-26,13.53515338897705
2015-09-27,13.53515338897705
2015-09-28,13.23905086517334
2015-09-29,13.291696548461914
2015-09-30,13.508834838867188
2015-10-01,13.541733741760254
2015-10-02,13.8444185256958
2015-10-03,13.8444185256958
2015-10-04,13.8444185256958
2015-10-05,14.094457626342773
2015-10-06,14.153680801391602
2015-10-07,14.377401351928711
2015-10-08,14.423460006713867
2015-10-09,14.436620712280273
2015-10-10,14.436620712280273
2015-10-11,14.436620712280273
2015-10-12,14.377401351928711
2015-10-13,14.127360343933105
2015-10-14,14.186574935913086
2015-10-15,14.370824813842773
2015-10-16,14.476104736328125
2015-10-17,14.476104736328125
2015-10-18,14.476104736328125
2015-10-19,14.416882514953613
2015-10-20,14.383980751037598
2015-10-21,14.206318855285645
2015-10-22,14.36424446105957
2015-10-23,14.456363677978516
2015-10-24,14.456363677978516
2015-10-25,14.456363677978516
2015-10-26,14.397140502929688
2015-10-27,14.324764251708984
2015-10-28,14.377401351928711
2015-10-29,14.166840553283691
2015-10-30,14.140517234802246
2015-10-31,14.140517234802246
